source_file;ucs_id;ucs_name;surface_ha;nb_uts;texture;profondeur;hydromorphie;position_topo;ph_classe;cailloux
id_ucs_10025.txt;65;Sols cultivés sur migmatites des plateaux sommitaux d’interfluve entre Gartempe et Couze de Rancon à Bellac;5574.0;4;sablo-argilo-limoneux;moyen;hydromorphe;plateau;Acide;NA
id_ucs_10026.txt;82;sols bruns et sols d’apport alluvial, plus ou moins hydromorphes, sur alluvions des basses terrasses des rivières, et sols colluviaux des vallons secs;979.0;4;sableux;NA;hydromorphe;plateau;NA;caillouteux
id_ucs_10027.txt;83;sols colluviaux, calcaires ou calciques, localement hydromorphes, sur matériaux colluvionnaires et/ou alluvionnaires, des bas-fonds des vallées;1467.0;3;limono-sableux;NA;hydromorphe;bas-fond/vallee;Basique;NA
id_ucs_10028.txt;415;Vastes plateaux, replats, pieds de coteaux ? bocage résiduel, en culture ? largement occupés par des argilo-calcaires développés dans les calcaires du Lias (Sinémurien, Pleinsbachien), en Boischaut Sud.;9692.0;9;argileux;moyen;draine;plateau;Basique;caillouteux
id_ucs_10029.txt;9;sols bruns calcimorphes et sols lessivés plus ou moins hydromorphes, à texture argileuse, sur molasse du Fronsadais, des versants des coteaux nord occidentaux;17543.0;9;argileux;NA;hydromorphe;versant;Basique;NA
id_ucs_10032.txt;7;Sols de la basse plaine sur alluvions récentes de l’Agout, du Dadou et du Cérou.;15817.0;8;limoneux;NA;hydromorphe;bord de cours d'eau;Basique;caillouteux
id_ucs_10033.txt;4101;Sols bruns calcaires limono-sablo-argileux à argilo-limonosableux, peu à moyennement profonds et caillouteux sur calcaire dur;3907.0;5;limono-argilo-sableux;moyen;;NA;Basique;caillouteux
id_ucs_10034.txt;4102;Sols bruns calcaires à décarbonatés limono-sablo-argileux à argilo-limono-sableux des collines de marnes et calcaires du Muschelkalk inférieur;7661.0;8;limono-sablo-argileux;superficiel;hydromorphe;NA;Basique;NA
id_ucs_10035.txt;4103;Sols bruns calciques à calcaires argilo-limono-sableux à argilo-limoneux des collines de marnes et calcaires du Muschelkalk supérieur;4830.0;4;argilo-limono-sableux;NA;;NA;Basique;caillouteux
id_ucs_10037.txt;4201;Sols bruns calcaires limono-argilo-sableux à argileux des collines de marnes et argiles du Lias, du Trias et du Tertiaire non hydromorphes;6314.0;11;limono-argilo-sableux;profond;hydromorphe;NA;Basique;NA
id_ucs_10038.txt;4202;Sols bruns à bruns calciques argilo-limono-sableux des collines de marnes gréseuses du Lias;905.0;1;limono-argilo-sableux;NA;draine;NA;Basique;NA
id_ucs_10039.txt;4301;Sols bruns calciques à pélosols hydromorphes argilolimoneux à argileux des collines de marnes et argiles du Lias et du Tertiaire;8076.0;4;argilo-limoneux;NA;hydromorphe;NA;Basique;NA
id_ucs_1004.txt;1506;Sols plus oumoins lessivés, hydromorphes, issu demolasse de l’Agenais ou de calcaire de Monbazillac, du plateau de la forêt de la Bessède;2981.0;2;limono-sablo-argileux;NA;hydromorphe;plateau;Basique;caillouteux
id_ucs_10041.txt;4401;Sols bruns à bruns calciques limono-sableux à limono-argilosableux, moyennement profonds, sur galets du conglomérat Oligocène;1317.0;3;limono-sablo-argileux;moyen;;NA;Basique;caillouteux
id_ucs_10043.txt;431;Sols des vallées alluviales étroites hydromorphes du Vimeu;911.0;4;limoneux;moyen;hydromorphe;bord de cours d'eau;Basique;caillouteux
id_ucs_10044.txt;4501;Sols bruns calcaires, argilo-limono-sableux des collines de marnes et argiles du Trias et du Tertiaire;6971.0;6;argilo-limono-sableux;NA;draine;NA;Basique;caillouteux
id_ucs_10045.txt;52;sols colluviaux, argilo-limoneux, à charge grossière moyenne, sur colluvions molassiques des bas de pentes des coteaux de Gascogne;1686.0;3;argileux;tres profond;hydromorphe;versant;Basique;caillouteux
id_ucs_10046.txt;26;Sols cultivés et bosquets sur granites de Vaulry des paysages granitiques entre Monts de Blond et Monts d’Ambazac de Javerdat à Nantiat;7078.0;3;sableux;superficiel;hydromorphe;bas-fond/vallee;Acide;NA
id_ucs_10047.txt;4601;Sols bruns calcaires à calciques limono-sableux à limonoargilo-sableux, peu à moyennement profonds, sur galets du conglomérat Oligocène;1574.0;3;limono-sableux;moyen;;NA;Basique;caillouteux
id_ucs_10048.txt;4701;Sols bruns calciques, argilo-limono-sableux, plus ou moins hydromorphes des collines de calcaires et marnes du conglomérat Tertiaire;3081.0;7;argilo-limono-sableux;profond;hydromorphe;NA;Basique;NA
id_ucs_10049.txt;4801;Sols lessivés à tendance planosolique des dépôts sableux sur argile des collines sous vosgiennes;1198.0;3;limono-sablo-argileux;profond;hydromorphe;NA;Acide;pierres/blocs
id_ucs_1005.txt;1507;Sols alluviaux, hydromorphes, calcaires ou non, des basfonds du Fumelois;1041.0;6;argilo-sableux;NA;hydromorphe;bas-fond/vallee;Basique;caillouteux
id_ucs_10050.txt;4802;Sols bruns à bruns acides des collines de marnes et colluvions gréseuses du piémont des Vosges;1311.0;3;limono-sableux;profond;draine;NA;Acide;NA
id_ucs_10051.txt;4901;Sols bruns à bruns acides sablo-limoneux à limono-sableux, irrégulièrement profonds, caillouteux, localement calciques, sur granite;1704.0;3;limono-sableux;profond;;NA;Acide;caillouteux
id_ucs_10052.txt;5101;Sols bruns acides et podzoliques à pierres et blocs sur grès des Vosges;55837.0;7;NA;NA;;NA;Acide;pierres/blocs
id_ucs_10053.txt;5201;Sols bruns à bruns acides sur granites riches en fer;34541.0;5;NA;NA;;NA;NA;NA
id_ucs_10054.txt;5202;Sols bruns acides à podzoliques sur granites pauvres en fer;32890.0;6;NA;NA;;NA;Acide;NA
id_ucs_10055.txt;5305;Sols bruns sur schistes houiller;670.0;2;NA;profond;;NA;NA;NA
id_ucs_10056.txt;6101;Sols bruns calcaires et rendzines argilo-limono-sableux à argileux, caillouteux sur calcaire dur du Jurassique;4823.0;5;argilo-limono-sableux;superficiel;;NA;Basique;caillouteux
id_ucs_10057.txt;2203;Sols sableux profonds, sains ou hydromorphes, sur alluvions récentes du Giessen;534.0;1;sableux;profond;;bord de cours d'eau;Acide;NA
id_ucs_10058.txt;3501;Sols bruns colluviaux décarbonatés limoneux à limonoargileux profonds hydromorphes des vallons humides sur lehm-loess;4540.0;2;limono-argileux;profond;hydromorphe;NA;Neutre;NA
id_ucs_1006.txt;1601;Sols calcaires, plus ou moins épais, parfois à caractère vertique (à argiles gonflantes de type smectitique), sur calcaire de Castillon, des plateaux de Monflanquin;3272.0;5;argileux;superficiel;;plateau;Basique;caillouteux
id_ucs_10060.txt;2204;Sols de texture variable, plus ou moins hydromorphes, des alluvions récentes des rivières vosgiennes centrales;8220.0;8;sablo-limoneux;profond;hydromorphe;bord de cours d'eau;Neutre;NA
id_ucs_10062.txt;432;Sols des vallées sèches limoneux sains du Vimeu;1932.0;2;limoneux;profond;;versant;Basique;silex
id_ucs_10063.txt;2302;Sols limono-sablo-argileux, profonds, plus ou moins hydromorphes sur alluvions récentes et anciennes de la Fecht et des affluents associés;7190.0;7;limono-sablo-argileux;profond;hydromorphe;bord de cours d'eau;NA;NA
id_ucs_10064.txt;53;sols hydromorphes à pseudogley, à forte charge graveleuse, sur alluvions des nappes alluviales anciennes;4071.0;1;argilo-sableux;NA;hydromorphe;bord de cours d'eau;NA;caillouteux
id_ucs_10065.txt;2;Sols cultivés sur formations limoneuses de recouvrement sur granites des plateaux sommitaux à pente faible de la rive droite aval de la Brame;3065.0;4;limoneux;profond;hydromorphe;plateau;Acide;NA
id_ucs_10066.txt;2303;Sols limono-sablo-argileux à sablo-argilo-limoneux, profonds, hydromorphes, lessivés et indurés en profondeur (fragipan) sur alluvions anciennes des glacis du piémont des Vosges;4912.0;6;limono-sablo-argileux;profond;hydromorphe;bord de cours d'eau;NA;NA
id_ucs_10067.txt;2304;Sols de texture, profondeur et hydromorphie variables, localement tourbeux, des alluvions récentes des rivières vosgiennes du Sud et du Centre;34407.0;11;sablo-argilo-limoneux;superficiel;hydromorphe;bord de cours d'eau;Acide;caillouteux
id_ucs_10068.txt;2401;Sols argilo-limoneux à argileux, calcaires à décarbonatés, à gley des alluvions récentes aval de l’Ill et de la Largue (vallées larges);2004.0;4;limono-argileux;profond;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10069.txt;2402;Sols limono-argileux à argilo-limoneux, calcaires à décarbonatés, hydromorphes des alluvions récentes amont de l’Ill et de la Largue (vallées étroites);2932.0;2;limono-argileux;NA;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_1007.txt;1602;Sols bruns calcimorphes, plus ou moins hydromorphes, et sols bruns lessivés à lessivés, hydromorphes, sur molasse du Fronsadais, des versants des coteaux de Monflanquin;2151.0;9;argileux;NA;hydromorphe;versant;Basique;caillouteux
id_ucs_10070.txt;3101;Sols bruns calcaires limoneux profonds sur loess;69251.0;10;limoneux;profond;hydromorphe;NA;Basique;NA
id_ucs_10071.txt;3103;Sols bruns calcaires limoneux à limono-sablo-argileux profonds sur loess remaniés par des sables d’origine vosgienne;2049.0;5;limono-sablo-argileux;profond;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10072.txt;3104;Sols bruns calciques limono-argileux (à argilo-limoneux) profonds sur loess;16070.0;5;limono-argileux;profond;hydromorphe;NA;Neutre;NA
id_ucs_10073.txt;3201;Sols bruns faiblement lessivés à bruns lessivés limoneux à limono-argileux profonds plus ou moins hydromorphes sur lehm-loess;27893.0;10;limono-argileux;profond;hydromorphe;NA;Neutre;NA
id_ucs_10074.txt;3202;Sols bruns faiblement lessivés à lessivés limoneux à limonoargileux profonds plus ou moins hydromorphes sur lehm-loess remaniés par des sables d’origine vosgienne;4547.0;3;limono-sablo-argileux;NA;hydromorphe;bord de cours d'eau;Neutre;NA
id_ucs_10075.txt;3303;Sols lessivés limoneux à limono-argileux profonds hydromorphes sur lehm remanié par des sables d’origine vosgienne;1147.0;4;argileux;profond;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10076.txt;3401;Sols bruns colluviaux calcaires limoneux profonds des vallons secs sur loess;3486.0;2;limono-argileux;profond;draine;NA;Basique;NA
id_ucs_10078.txt;433;Sols des larges vallées alluviales très hydromorphes, localement tourbeux, calcaires du Vimeu;2244.0;4;limono-argileux;profond;;bord de cours d'eau;Basique;NA
id_ucs_10079.txt;55;sols d’apport alluvial, brunifiés, à forte charge grossière, plus ou moins hydromorphes, sur alluvions actuelles des vallées de l’Avance et de l’Ourbise;2302.0;2;limoneux;NA;hydromorphe;plateau;NA;caillouteux
id_ucs_1008.txt;1603;Sols calcimorphes, plus ou moins épais, à texture plutôt argileuse, plus ou moins hydromorphes, et sols bruns lessivés hydromorphes, sur molasse de l’Agenais, des versants des coteaux de Monflanquin;1798.0;9;argileux;superficiel;hydromorphe;versant;Basique;caillouteux
id_ucs_10080.txt;66;Sols cultivés sur leucogranites des pentes moyennes des collines de Saint-Hilaire-la-Treille;3323.0;4;limono-argilo-sableux;moyen;hydromorphe;haut de versant;Acide;NA
id_ucs_10081.txt;1101;Sols sableux à limono-sableux, calcaires, plus ou moins profonds, sur alluvions sableuses de la basse plaine du Rhin;20602.0;5;limono-sablo-argileux;profond;draine;bord de cours d'eau;Basique;NA
id_ucs_10082.txt;1102;Sols très sableux à sablo-limoneux, calcaires, moyennement profonds avec quelques épandages caillouteux, sur alluvions sableuses de la basse plaine du Rhin;14173.0;4;sablo-limoneux;profond;hydromorphe;bord de cours d'eau;Basique;caillouteux
id_ucs_10083.txt;1103;Sols limono-argilo-sableux calciques ou calcaires, profonds hydromorphes sur alluvions sablo-argileuses de la basse plaine du Rhin;11060.0;4;sablo-limono-argileux;moyen;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10084.txt;1201;Sols argilo-sableux hydromorphes ou à gley réduit, calcaires dès la surface sur alluvions argileuses du Ried gris de la basse plaine du Rhin;2935.0;4;argileux;profond;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10085.txt;1202;Sols limono-argilo-sableux hydromorphes, calcaires et profonds, des anciens chenaux de diffluence de la basse plaine du Rhin;1358.0;3;limono-sablo-argileux;profond;hydromorphe;bord de cours d'eau;Basique;caillouteux
id_ucs_10086.txt;1203;Sols tourbescents à tourbeux du ried noir rhénan;8829.0;2;argilo-limono-sableux;profond;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10087.txt;1301;Sols limono-argilo-sableux, caillouteux, peu àmoyennement profonds (30-60/80 cm), calcaires sur alluvions caillouteuses de la basse terrasse du Rhin (Hardt grise);23125.0;4;limono-argilo-sableux;superficiel;draine;plateau;Basique;caillouteux
id_ucs_10088.txt;1302;Sols limono-sablo-argileux, généralement profonds, peu à moyennement hydromorphes, calcaires, liés aux anciens méandres d’inondation des alluvions de la basse terrasse du Rhin (Hardt profonde);18447.0;5;limono-argilo-sableux;profond;;plateau;Basique;NA
id_ucs_10089.txt;1401;Sols limono-sablo-argileux, plus ou moins rubéfiés, peu à moyennement profonds de la basse terrasse des alluvions du Rhin (Hardt Rouge);32182.0;5;limono-sablo-argileux;superficiel;;plateau;Acide;caillouteux
id_ucs_1009.txt;1604;Sols bruns calciques, sur molasse de l’Agenias, des buttes témoins et plateaux de Monflanquin;1068.0;2;argileux;NA;hydromorphe;plateau;Basique;caillouteux
id_ucs_10090.txt;1501;Sols limono-sableux à limoneux ou limono-argileux, profonds, sains, décarbonatés sur limons de débordement du lit mineur de l’Ill;4618.0;6;argilo-limono-sableux;profond;hydromorphe;bord de cours d'eau;NA;caillouteux
id_ucs_10091.txt;1502;Sols limoneux à limono-argilo-sableux, profonds, hydromorphes, décarbonatés sur limons de débordement du lit majeur de l’Ill;6903.0;4;limono-argilo-sableux;profond;draine;bord de cours d'eau;Basique;NA
id_ucs_10092.txt;1503;Sols limono-argilo-sableux hydromorphes, peu à moyennement profonds (30-50/60 cm), caillouteux sur alluvions de l’Ill;10583.0;7;limono-argilo-sableux;superficiel;hydromorphe;bord de cours d'eau;NA;caillouteux
id_ucs_10093.txt;1601;Sols argileux décarbonatés hydromorphes dès la surface à gley > 50 cm (Ried gris de l’Ill);6084.0;2;limono-argilo-sableux;NA;hydromorphe;bord de cours d'eau;NA;NA
id_ucs_10094.txt;1602;Sols argileux décarbonatés hydromorphes tourbeux ou tourbescents dès la surface (Ried noir de l’Ill);5055.0;4;argileux;NA;hydromorphe;bord de cours d'eau;NA;NA
id_ucs_10095.txt;1603;Sols limono-argilo-sableux humifères, calcaires, hydromorphes à moyenne profondeur (50-60 cm) sur cailloutis sableux rhénan à 60-100 cm (Ried noir rhénan);3245.0;2;sablo-limono-argileux;NA;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10096.txt;509;Sols hydromorphes des plateaux ondulés et versants à pente faible issus de schistes moyens;2640.0;6;argileux;profond;hydromorphe;plateau;Acide;caillouteux
id_ucs_10098.txt;2101;Sols de texture variable, souvent hydromorphes, des alluvions récentes des rivières vosgiennes du Nord;17720.0;10;argilo-limono-sableux;profond;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10099.txt;2102;Sols de texture variable, souvent lessivés et hydromorphes, des alluvions anciennes des rivières vosgiennes du Nord;10805.0;11;limono-argilo-sableux;profond;hydromorphe;bord de cours d'eau;Acide;caillouteux
id_ucs_1010.txt;1701;Sols vertiques (à argiles gonflantes de type smectitique) de position basse, dits Topovertisols, calcaires, et sols calcimorphes vertiques, des dépressions de la région d’Issigeac;8837.0;7;argileux;superficiel;draine;NA;Basique;caillouteux
id_ucs_10100.txt;2104;Sols sableux acides hydromorphes (et podzolisés) profonds sur cône d’épandage sableux du Pliocène (plaine de Haguenau);9892.0;7;sableux;NA;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10101.txt;2201;Sols limono-sablo-argileux à sablo-argileux ou argilosableux, profonds, plus ou moins hydromorphes, sur cailloutis des alluvions récentes de la Bruche;6005.0;3;argileux;superficiel;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10102.txt;311;Sols de plateaux occidentaux limono-argileux à limonosableux, caillouteux moyennement profonds du Ponthieu;6893.0;2;limono-argileux;profond;;plateau;Basique;caillouteux
id_ucs_10103.txt;56;sols sableux des recouvrements éoliens des vallées de l’Avance et de l’Ourbise;890.0;1;sableux;NA;;NA;NA;NA
id_ucs_10104.txt;2202;Sols limono-argileux à argileux calcaires à décarbonatés, plus ou moins humifères, profonds, hydromorphes à très hydromorphes du Bruch de l’Andlau;7367.0;6;limono-argileux;profond;hydromorphe;bord de cours d'eau;Basique;NA
id_ucs_10105.txt;1;Sols cultivés sur formations limoneuses de recouvrement des plateaux faiblement ondulés d’Azat-le-Ris;2199.0;4;sablo-limono-argileux;profond;hydromorphe;plateau;Acide;NA
id_ucs_1011.txt;1702;Sols calcimorphes, hydromorphes ou non, plus ou moins épais, et sols lessivés hydromorphes, sur molasse de l’Agenais et argiles de Castillon, des buttes témoins de la région d’Issigeac;1098.0;4;argileux;superficiel;hydromorphe;NA;Basique;caillouteux
id_ucs_1012.txt;1703;Sols calcimorphes, plus ou moins hydromorphes, sur argiles et calcaire de Castillon et molasse du Fronsadais, de la gouttière calcaire de la dépression d’Issigeac;4081.0;3;argileux;superficiel;hydromorphe;bas-fond/vallee;Basique;caillouteux
id_ucs_10125.txt;1407;Sols hydromorphes alluviaux et sols des versants abrupts issus de grès;3305.0;10;NA;moyen;hydromorphe;versant;Acide;caillouteux
id_ucs_10126.txt;1414;Sols hydromorphes essentiellement alluviaux de dépression humide et sols cultivés peu profonds des versants schisteux;190.0;6;NA;profond;hydromorphe;versant;Acide;NA
id_ucs_10128.txt;1501;Sols issus des dépôts sableux du Pliocène;912.0;8;sableux;profond;hydromorphe;bas-fond/vallee;NA;NA
id_ucs_10131.txt;1405;Sols hydromorphes profonds des larges vallées alluviales;18968.0;10;NA;profond;hydromorphe;bas-fond/vallee;NA;NA
id_ucs_10132.txt;1406;Sols hydromorphes alluviaux et sols peu profonds des versants abrupts fréquemment boisés issus de granite;1162.0;10;NA;profond;hydromorphe;versant;Acide;NA
id_ucs_10136.txt;312;Sols de plateaux limoneux moyennement profonds hydromorphes du Ponthieu;2794.0;2;limono-argileux;profond;hydromorphe;plateau;Basique;NA
id_ucs_10138.txt;57;sols podzolisés, ocriques à meubles sur sables des Landes sèches du plateau landais;13806.0;2;sableux;NA;;plateau;NA;NA
id_ucs_10140.txt;4;Sols cultivés sur sables et argiles détritiques des plateaux faiblement ondulés d’Azat-le-Ris;248.0;3;argileux;moyen;hydromorphe;plateau;NA;NA
id_ucs_10149.txt;2101;Sols moyennement profonds des longs versants à pentes fortes issus de cornéennes;13983.0;9;limono-sablo-argileux;profond;;versant;Acide;NA
id_ucs_10151.txt;2103;Sols peu profonds des hauts paysages bocagers au relief marqué issus de cornéennes;396.0;4;NA;moyen;;NA;Acide;NA
id_ucs_10152.txt;2102;Sols fréquemment hydromorphes des versants à pentes faibles des plaines cultivées issus de cornéennes;4583.0;9;NA;profond;hydromorphe;versant;Acide;NA
id_ucs_10154.txt;2205;Sols moyennement profonds à profonds des plaines d’altitudes faibles issus de schistes métamorphisés et limons;2439.0;6;limoneux;moyen;hydromorphe;plaine;Acide;NA
id_ucs_10156.txt;2204;Sols des longs versants bocagers à pente faible issus de schistes métamorphisés;6140.0;8;NA;profond;hydromorphe;versant;Acide;NA
id_ucs_10157.txt;2206;Sols à charge grossière des buttes allongées issus de schistes métamorphisés;288.0;4;NA;moyen;hydromorphe;NA;Acide;NA
id_ucs_10163.txt;313;Sols de plateaux limoneux moyennement profonds, à silex du Ponthieu;2356.0;2;limono-argilo-sableux;moyen;;plateau;Basique;caillouteux
id_ucs_10165.txt;58;sols podzolisés, meubles à duriques, sur sables des Landes mésophiles du plateau landais;27863.0;2;sableux;NA;;plateau;NA;NA
id_ucs_10166.txt;2401;Sols peu épais de plateau des matériaux calcaires;352.0;1;NA;superficiel;;plateau;Basique;NA
id_ucs_10167.txt;2202;Sols hydromorphes des dépressions bocagères issus de schistes métamorphisés;4793.0;7;NA;moyen;hydromorphe;bas-fond/vallee;Acide;NA
id_ucs_10177.txt;314;Sols de plateaux limoneux profonds, plus ou moins lessivés du Ponthieu;26294.0;2;limono-argileux;profond;;plateau;Basique;NA
id_ucs_10179.txt;59;sols podzolisés, humiques à nappe à humo-duriques et sols bruns acides humifères et hydromorphes, sur sables des Landes humides du plateau landais;18734.0;3;sableux;NA;hydromorphe;plateau;NA;NA
id_ucs_10210.txt;315;Sols des bordures de plateaux limono-argileux, localement caillouteux du Ponthieu;2341.0;3;limono-argileux;moyen;;plateau;Basique;caillouteux
id_ucs_10212.txt;9027;Sols hydromorphes des buttes allongées issus de grès altéré;3596.0;7;NA;profond;hydromorphe;NA;NA;caillouteux
id_ucs_10213.txt;61;sols podzolisés à gley de la vallée du Ciron;250.0;1;sableux;NA;hydromorphe;bas-fond/vallee;NA;NA
id_ucs_10222.txt;106;Dépression sableuse à argilo-sableuse, non calcaire, non caillouteux, profond et humide sur sable et argile verts;10100.0;3;sablo-argileux;profond;hydromorphe;bas-fond/vallee;Basique;caillouteux
id_ucs_10223.txt;55;Plaine argileuse, profonde, , calcaire, à faible charge en éléments grossiers, hydromorphe ou à ressuyage lent sur marne et calcaire marneux oxfordiens: Groies marneuses;15228.0;3;argileux;moyen;draine;plaine;Basique;caillouteux
id_ucs_10224.txt;55;Plaine argileuse, profonde, , calcaire, à faible charge en éléments grossiers, hydromorphe ou à ressuyage lent sur marne et calcaire marneux oxfordiens: Groies marneuses;8923.0;3;argileux;moyen;draine;plaine;Basique;caillouteux
id_ucs_10225.txt;54;Plaine limono-argileuse, calcaire, à nombreux graviers calcaires sur calcaire callovien, très fissuré : Groies profondes;22334.0;3;limono-argileux;profond;draine;plaine;Basique;caillouteux
id_ucs_10226.txt;54;Plaine limono-argileuse, calcaire, à nombreux graviers calcaires sur calcaire callovien, très fissuré : Groies profondes;8483.0;3;limono-argileux;profond;draine;plaine;Basique;caillouteux
id_ucs_10228.txt;203;plaine argileuse à limoneuse, assez profonde, calcaire ou non, hydromorphe, sur formation cenomanienne recouvrant le calcaire oxfordien;795.0;3;argileux;profond;draine;plaine;Basique;caillouteux
id_ucs_10229.txt;18;sols bruns calcimorphes à sols lessivés hydromorphes, sur molasse du Fronsadais, des versants des coteaux nord orientaux;1118.0;6;limono-sablo-argileux;NA;hydromorphe;versant;Basique;NA
id_ucs_10230.txt;12020;Sols des buttes et vallées encaissées tourbeuses issus de limon et granite;11853.0;10;limoneux;profond;;NA;Acide;NA
id_ucs_10232.txt;316;Sols des bordures de plateaux argileux à silex du Ponthieu;1718.0;2;limono-argileux;moyen;;plateau;Basique;caillouteux
id_ucs_10233.txt;62;sols d’apport alluvial des bourrelets alluviaux de la vallée de la Garonne;1140.0;3;sablo-limono-argileux;NA;;bas-fond/vallee;Basique;NA
id_ucs_10234.txt;30;sols calcimorphes, à charge grossièremoyenne, sur calcaire de l’Agenais, des plateaux du Pays de Serres;25408.0;8;argileux;superficiel;hydromorphe;plateau;Basique;NA
id_ucs_10235.txt;34;sols calcimorphes, superficiels, sur calcaire dolomitique, des plateaux des causses du Bas Quercy;1239.0;3;NA;superficiel;;plateau;Basique;caillouteux
id_ucs_10236.txt;39;sols calcimorphes, argileux, plus ou moins hydromorphes, à charge grossière faible, sur alternance de calcaire, marnes et molasse de l’Aquitanien, des versants ouest des vallées du Néracais;4473.0;4;argileux;superficiel;hydromorphe;versant;Basique;NA
id_ucs_10237.txt;40;sols lessivés hydromorphes, d’alluvions anciennes sur molasse de l’Armagnac, et sols bruns colluviaux, sur colluvions, des versants est des vallées du Néracais;8365.0;6;limono-argileux;NA;hydromorphe;versant;Basique;NA
id_ucs_10238.txt;43;sols bruns à forte charge grossière, plus ou moins hydromorphes, sur colluvions de terrasses alluviales anciennes, des versants des coteaux du Bruilhois;6546.0;5;argileux;NA;hydromorphe;plateau;Basique;caillouteux
id_ucs_10239.txt;44;sols colluviaux calcaires, argileux, sur colluvions molassiques et sols calcimorphes, sur calcaire de l’Agenais, des bas des coteaux du Bruilhois;3448.0;4;argileux;tres profond;;versant;Basique;NA
id_ucs_10240.txt;50;sols calcaires, sur calcaires de l’Agenais et de l’Armagnac, et des versants des coteaux de Gascogne;1819.0;8;argileux;superficiel;hydromorphe;versant;Basique;NA
id_ucs_10241.txt;51;sols bruns hydromorphes, à charge grossière faible, sur alluvions sableuses des lambeaux des hautes terrasses des coteaux de Gascogne;270.0;3;sableux;NA;hydromorphe;plateau;NA;NA
